date	Trump	Clinton
20150526	32.0	50.0
20150622	35.0	46.0
20150623	34.0	51.0
20150628	35.0	59.0
20150712	34.0	51.0
20150721	37.0	50.0
20150725	40.0	56.0
20150728	38.0	50.3
20150801	49.0	50.0
20150809	41.0	47.0
20150810	29.0	43.0
20150813	42.0	47.0
20150816	45.0	51.0
20150822	54.0	46.0
20150825	41.0	45.0
20150830	43.0	44.5
20150903	45.0	40.0
20150907	43.0	42.0
20150908	47.5	45.5
20150909	40.0	53.0
20150910	43.0	46.0
20150913	40.0	44.0
20150920	41.0	45.0
20150921	43.0	45.0
20150922	42.0	46.0
20150924	39.0	49.0
20150927	42.0	45.0
20151001	52.0	48.0
20151004	44.0	44.0
20151005	43.0	41.0
20151012	43.0	41.5
20151017	45.5	47.0
20151019	41.0	44.0
20151022	38.0	47.0
20151025	43.0	43.0
20151026	49.0	51.0
20151029	42.0	50.0
20151031	37.0	41.0
20151101	44.0	44.0
20151102	43.0	46.0
20151104	41.0	56.0
20151108	43.0	43.0
20151116	43.0	44.0
20151117	44.0	45.0
20151119	46.0	41.0
20151130	41.0	47.0
20151201	46.0	49.0
20151202	41.0	52.0
20151203	37.0	51.0
20151206	44.0	47.0
20151207	45.0	40.0
20151208	49.0	51.0
20151209	40.0	50.0
20151213	44.0	50.0
20151215	41.0	46.0
20151217	40.5	47.5
20151220	43.0	47.5
20151221	47.0	49.0
20151223	36.0	37.0
20160107	47.0	44.0
20160110	47.5	45.5
20160113	41.0	51.0
20160117	42.0	44.0
20160120	45.0	45.0
20160124	43.0	46.5
20160203	38.0	45.5
20160204	41.0	46.0
20160207	40.0	45.0
20160210	34.0	44.0
20160215	44.0	43.5
20160216	41.0	46.5
20160217	39.5	45.5
20160224	35.0	44.0
20160227	43.5	48.0
20160301	36.0	41.0
20160302	35.0	46.0
20160306	39.0	49.0
20160309	31.0	45.0
20160312	42.0	43.0
20160313	37.0	47.0
20160316	37.0	42.0
20160320	39.7	50.3
20160321	39.0	45.5
20160322	37.0	51.5
20160323	38.0	45.5
20160324	40.0	53.0
20160326	39.5	46.0
20160329	41.0	45.0
20160331	36.5	47.5
20160402	35.0	47.0
20160403	35.5	45.0
20160406	34.0	39.0
20160410	36.0	43.0
20160411	37.0	46.0
20160412	40.0	50.0
20160413	37.5	45.5
20160414	39.0	50.0
20160417	38.0	47.0
20160420	38.7	45.7
20160422	40.0	46.0
20160424	37.5	47.0
20160426	39.0	40.5
20160427	36.0	43.0
20160428	40.5	43.0
20160501	39.0	48.5
20160502	40.0	45.0
20160504	36.0	45.0
20160508	44.0	49.0
20160509	39.0	43.0
20160510	49.0	51.0
20160511	37.0	41.0
20160515	42.5	45.0
20160516	42.0	46.0
20160517	43.0	44.5
20160518	39.0	39.0
20160519	43.7	44.7
20160520	46.0	46.0
20160522	43.0	47.0
20160523	40.5	42.0
20160524	39.0	40.0
20160525	36.0	41.0
20160529	45.0	47.0
20160530	40.0	43.5
20160601	36.0	41.0
20160605	41.2	45.2
20160607	38.0	42.0
20160608	36.5	42.0
20160609	37.0	42.0
20160612	42.0	49.0
20160613	36.0	41.5
20160615	35.5	42.5
20160616	45.0	50.0
20160619	41.3	47.3
20160620	40.5	46.0
20160621	39.0	44.0
20160622	34.0	44.0
20160623	40.0	48.5
20160626	41.0	49.0
20160627	39.5	43.0
20160628	42.0	47.0
20160629	38.8	42.8
20160703	43.0	48.0
20160704	40.0	41.0
20160706	33.0	44.0
20160709	39.0	42.0
20160710	42.5	44.5
20160712	40.0	40.0
20160713	42.5	41.5
20160714	43.0	47.0
20160715	41.0	46.0
20160716	40.5	45.0
20160717	45.0	46.0
20160719	43.0	42.0
20160720	39.0	41.5
20160722	51.0	49.0
20160724	44.6	44.0
20160727	42.0	43.0
20160729	35.0	40.0
20160730	40.0	43.0
20160731	43.0	49.5
20160802	39.0	49.0
20160803	36.7	46.0
20160804	41.5	48.5
20160805	37.0	46.0
20160807	41.3	48.3
20160810	36.0	42.0
20160814	41.0	48.3
20160815	40.0	50.0
20160816	35.0	48.0
20160817	36.0	41.0
20160820	40.0	45.5
20160821	44.5	49.0
20160824	38.0	46.5
20160826	40.0	43.0
20160828	44.5	49.0
20160829	40.0	44.0
20160901	43.0	44.0
20160902	40.0	42.0
20160904	44.5	48.5
20160905	38.0	40.0
20160908	43.0	44.0
20160911	46.5	47.0
20160912	39.0	40.0
20160913	43.5	47.0
20160916	42.0	46.0
20160918	46.0	49.0
20160919	39.0	39.0
20160920	42.5	47.5
20160924	44.0	45.0
20160925	45.5	49.5
20160926	38.0	44.0
20160927	41.0	45.0
20160928	38.0	42.0
20161002	43.0	48.4
20161003	37.0	44.0
20161008	41.0	45.0
20161009	44.0	50.5
20161010	39.0	45.0
20161015	41.0	46.0
20161016	43.0	50.7
20161017	40.0	46.5
20161020	41.0	47.5
20161023	45.0	50.0
20161024	38.0	46.0
20161030	45.5	49.5
20161031	50.0	50.0
20161101	44.0	47.0
20161103	44.0	46.0
20161106	43.0	47.4
